Column,Name of Field,Description,Comments,,,,,
BB,MALE_GP_PTNR_PROV_HC,Male GP Partner/Providers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BC,MALE_GP_SAL_BY_PRAC_HC,Male Salaried by Practice GPs Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BD,MALE_GP_SAL_BY_OTH_HC,Male Salaried by Other GPs Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BE,MALE_GP_REG_ST1_4_HC,Male GP Registrars ST1/4 Headcount,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
BF,MALE_GP_REG_F1_2_HC,Male GP Registrars F1/2 Headcount,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
BG,MALE_GP_RET_HC,Male GP Retainers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BH,MALE_GP_LOCUM_VAC_HC,Male GP Locums covering Vacancies Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BI,MALE_GP_LOCUM_ABS_HC,Male GP Locums covering Sickness/Maternity/Paternity Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BJ,MALE_GP_LOCUM_OTH_HC,Male GP Locums - Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BK,MALE_GP_LOCUM_INF_HC,Male GP Infrequent Locums Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BL,FEMALE_GP_HC,Female GPs Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BM,FEMALE_GP_EXR_HC,Female Fully Qualified GPs (excludes Registrars) Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BN,FEMALE_GP_EXL_HC,Female Regular GPs (excludes Locums) Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BO,FEMALE_GP_EXRL_HC,Female Qualified Permanent GPs (excludes Registrars & Locums) Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BP,FEMALE_GP_SEN_PTNR_HC,Female GP Senior Partners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BQ,FEMALE_GP_PTNR_PROV_HC,Female GP Partner/Providers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BR,FEMALE_GP_SAL_BY_PRAC_HC,Female Salaried by Practice GPs Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BS,FEMALE_GP_SAL_BY_OTH_HC,Female Salaried by Other GPs Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BT,FEMALE_GP_REG_ST1_4_HC,Female GP Registrars ST1/4 Headcount,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
BU,FEMALE_GP_REG_F1_2_HC,Female GP Registrars F1/2 Headcount,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
BV,FEMALE_GP_RET_HC,Female GP Retainers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BW,FEMALE_GP_LOCUM_VAC_HC,Female GP Locums covering Vacancies Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BX,FEMALE_GP_LOCUM_ABS_HC,Female GP Locums covering Sickness/Maternity/Paternity Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BY,FEMALE_GP_LOCUM_OTH_HC,Female GP Locums - Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BZ,FEMALE_GP_LOCUM_INF_HC,Female GP Infrequent Locums Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CA,TOTAL_GP_FTE,Total GPs Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CB,TOTAL_GP_EXR_FTE,All Fully Qualified GPs (excludes Registrars) Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CC,TOTAL_GP_EXL_FTE,All Regular GPs (excludes Locums) Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CD,TOTAL_GP_EXRL_FTE,All Qualified Permanent GPs (excludes Registrars & Locums) Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CE,TOTAL_GP_SEN_PTNR_FTE,Total GP Senior Partners Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CF,TOTAL_GP_PTNR_PROV_FTE,Total GP Partner/Providers Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CG,TOTAL_GP_SAL_BY_PRAC_FTE,Total Salaried by Practice GPs Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CH,TOTAL_GP_SAL_BY_OTH_FTE,Total Salaried by Other GPs Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CI,TOTAL_GP_REG_ST1_4_FTE,Total GP Registrars ST1/4 Full Time Equivalents,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
CJ,TOTAL_GP_REG_F1_2_FTE,Total GP Registrars F1/2 Full Time Equivalents,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
CK,TOTAL_GP_RET_FTE,Total GP Retainers Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CL,TOTAL_GP_LOCUM_VAC_FTE,Total GP Locums covering Vacancies Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CM,TOTAL_GP_LOCUM_ABS_FTE,Total GP Locums covering Sickness/Maternity/Paternity Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CN,TOTAL_GP_LOCUM_OTH_FTE,Total GP Locums - Other Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CO,TOTAL_GP_LOCUM_INF_FTE,Total GP Infrequent Locums Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CP,MALE_GP_FTE,Male GPs Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CQ,MALE_GP_EXR_FTE,Male Fully Qualified GPs (excludes Registrars) Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CR,MALE_GP_EXL_FTE,Male Regular GPs (excludes Locums) Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CS,MALE_GP_EXRL_FTE,Male Qualified Permanent GPs (excludes Registrars & Locums) Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CT,MALE_GP_SEN_PTNR_FTE,Male GP Senior Partners Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CU,MALE_GP_PTNR_PROV_FTE,Male GP Partner/Providers Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CV,MALE_GP_SAL_BY_PRAC_FTE,Male Salaried by Practice GPs Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CW,MALE_GP_SAL_BY_OTH_FTE,Male Salaried by Other GPs Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
CX,MALE_GP_REG_ST1_4_FTE,Male GP Registrars ST1/4 Full Time Equivalents,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
CY,MALE_GP_REG_F1_2_FTE,Male GP Registrars F1/2 Full Time Equivalents,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
CZ,MALE_GP_RET_FTE,Male GP Retainers Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DA,MALE_GP_LOCUM_VAC_FTE,Male GP Locums covering Vacancies Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DB,MALE_GP_LOCUM_ABS_FTE,Male GP Locums covering Sickness/Maternity/Paternity Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DC,MALE_GP_LOCUM_OTH_FTE,Male GP Locums - Other Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DD,MALE_GP_LOCUM_INF_FTE,Male GP Infrequent Locums Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DE,FEMALE_GP_FTE,Female GPs Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DF,FEMALE_GP_EXR_FTE,Female Fully Qualified GPs (excludes Registrars) Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DG,FEMALE_GP_EXL_FTE,Female Regular GPs (excludes Locums) Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DH,FEMALE_GP_EXRL_FTE,Female Qualified Permanent GPs (excludes Registrars & Locums) Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DI,FEMALE_GP_SEN_PTNR_FTE,Female GP Senior Partners Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DJ,FEMALE_GP_PTNR_PROV_FTE,Female GP Partner/Providers Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DK,FEMALE_GP_SAL_BY_PRAC_FTE,Female Salaried by Practice GPs Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DL,FEMALE_GP_SAL_BY_OTH_FTE,Female Salaried by Other GPs Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DM,FEMALE_GP_REG_ST1_4_FTE,Female GP Registrars ST1/4 Full Time Equivalents,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
DN,FEMALE_GP_REG_F1_2_FTE,Female GP Registrars F1/2 Full Time Equivalents,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
DO,FEMALE_GP_RET_FTE,Female GP Retainers Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DP,FEMALE_GP_LOCUM_VAC_FTE,Female GP Locums covering Vacancies Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DQ,FEMALE_GP_LOCUM_ABS_FTE,Female GP Locums covering Sickness/Maternity/Paternity Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
DR,FEMALE_GP_LOCUM_OTH_FTE,Female GP Locums - Other Full Time Equivalents," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
