Clinical Commissioning Group Code (2019),Clinical Commissioning Group Name (2019),IDAOPI - Average rank,IDAOPI - Rank of average rank,IDAOPI - Average score,IDAOPI - Rank of average score,IDAOPI - Proportion of LSOAs in most deprived 10% nationally,IDAOPI - Rank of proportion of LSOAs in most deprived 10% nationally
E38000038,NHS Coventry and Rugby CCG,16278.13,77,0.163,63,0.1484,47
E38000039,NHS Crawley CCG,15483.32,87,0.137,93,0.0152,135
E38000040,NHS Croydon CCG,16098.54,81,0.156,73,0.0727,69
E38000042,NHS Darlington CCG,15702.96,86,0.152,75,0.0769,66
E38000043,"NHS Dartford, Gravesham and Swanley CCG",11748.64,145,0.109,138,0.0131,139
E38000044,NHS Doncaster CCG,17034.87,64,0.159,70,0.0619,82
E38000045,NHS Dorset CCG,11617.93,146,0.106,146,0.0243,115
E38000046,NHS Dudley CCG,16961.29,65,0.162,67,0.0995,58
E38000047,"NHS Durham Dales, Easington and Sedgefield CCG",19469.85,38,0.181,48,0.0559,86
E38000048,NHS Ealing CCG,22272.54,23,0.223,27,0.1582,44
E38000049,NHS East and North Hertfordshire CCG,11597.25,147,0.104,149,0.0091,149
E38000050,NHS East Lancashire CCG,16710.83,69,0.163,65,0.1025,57
E38000051,NHS East Leicestershire and Rutland CCG,9228.79,176,0.084,177,0,157
E38000052,NHS East Riding of Yorkshire CCG,12149.77,133,0.11,136,0.0203,123
E38000053,NHS East Staffordshire CCG,11410.74,149,0.107,144,0.039,103
E38000054,NHS East Surrey CCG,8452.96,180,0.077,182,0,157
E38000055,"NHS Eastbourne, Hailsham and Seaford CCG",12812.7,123,0.113,128,0.0088,152
E38000056,NHS Eastern Cheshire CCG,8149.53,182,0.081,181,0,157
E38000057,NHS Enfield CCG,21091.21,29,0.21,34,0.1749,40
E38000059,NHS Fareham and Gosport CCG,8634.26,179,0.082,179,0,157
E38000062,NHS Gloucestershire CCG,10524.6,163,0.098,160,0.0214,119
E38000063,NHS Great Yarmouth and Waveney CCG,16570.19,72,0.149,78,0.0672,73
E38000064,NHS Greater Huddersfield CCG,13154.12,115,0.127,107,0.0833,63
E38000066,NHS Greenwich CCG,22462.52,21,0.234,21,0.2715,18
E38000068,NHS Halton CCG,17828.19,51,0.181,51,0.1266,51
E38000069,"NHS Hambleton, Richmondshire and Whitby CCG",9551.9,171,0.088,172,0,157
E38000070,NHS Hammersmith and Fulham CCG,24294.85,16,0.256,17,0.2124,33
E38000072,NHS Haringey CCG,25635.53,9,0.299,10,0.4414,9
E38000073,NHS Harrogate and Rural District CCG,8015.56,183,0.077,183,0.0096,146
E38000074,NHS Harrow CCG,18775.07,45,0.173,55,0.0657,77
E38000075,NHS Hartlepool and Stockton-on-Tees CCG,17488.28,60,0.183,47,0.191,36
E38000076,NHS Hastings and Rother CCG,15118.95,93,0.14,90,0.0631,81
E38000077,NHS Havering CCG,13025.8,117,0.117,118,0.02,124
E38000078,NHS Herefordshire CCG,12478.75,129,0.109,141,0,157
E38000079,NHS Herts Valleys CCG,10379.23,166,0.096,165,0.0029,156
E38000080,"NHS Heywood, Middleton and Rochdale CCG",19185.68,40,0.203,38,0.1866,37
E38000081,NHS High Weald Lewes Havens CCG,9382.48,174,0.086,175,0,157
E38000082,NHS Hillingdon CCG,16100.05,80,0.145,85,0.0373,104
E38000083,NHS Horsham and Mid Sussex CCG,6808.67,190,0.068,190,0,157
E38000084,NHS Hounslow CCG,21129.02,28,0.197,41,0.0845,62
E38000085,NHS Hull CCG,23454.27,18,0.257,16,0.3193,14
E38000086,NHS Ipswich and East Suffolk CCG,10983.77,154,0.1,155,0.0084,153
E38000087,NHS Isle of Wight CCG,15415.99,88,0.132,97,0,157
E38000088,NHS Islington CCG,28176.55,5,0.336,5,0.4959,7
E38000089,NHS Kernow CCG,16174.14,79,0.138,92,0.0153,134
E38000090,NHS Kingston CCG,13005.73,118,0.117,119,0.0204,122
E38000091,NHS Knowsley CCG,25203.52,12,0.294,12,0.4184,10
E38000092,NHS Lambeth CCG,26567.05,7,0.302,8,0.3876,11
E38000097,NHS Leicester City CCG,24931.78,15,0.298,11,0.375,12
E38000098,NHS Lewisham CCG,23648.4,17,0.24,18,0.1953,35
E38000099,NHS Lincolnshire East CCG,16757.79,67,0.146,83,0.0305,108
E38000100,NHS Lincolnshire West CCG,13422.28,109,0.123,110,0.0657,77
E38000101,NHS Liverpool CCG,25012.19,13,0.3,9,0.4463,8
E38000102,NHS Luton CCG,18905.64,43,0.198,39,0.2231,26
E38000103,NHS Mansfield and Ashfield CCG,16334.86,75,0.148,79,0.0413,100
E38000104,NHS Medway CCG,14533.04,100,0.133,96,0.0307,107
E38000105,NHS Merton CCG,16647.2,71,0.151,76,0.0242,116
E38000106,NHS Mid Essex CCG,10900.11,157,0.096,162,0,157
E38000107,NHS Milton Keynes CCG,14544.04,99,0.129,103,0.0192,127
E38000108,NHS Nene CCG,11935.29,140,0.112,132,0.0403,101
E38000109,NHS Newark and Sherwood CCG,10908.68,156,0.099,158,0,157
E38000113,NHS Newham CCG,29750.04,3,0.373,4,0.6402,4
E38000116,NHS North Durham CCG,16893.45,66,0.158,71,0.0414,99
E38000117,NHS North East Essex CCG,14793.07,96,0.131,100,0.0258,112
E38000118,NHS North East Hampshire and Farnham CCG,9656.12,170,0.113,130,0.0923,60
E38000119,NHS North East Lincolnshire CCG,17280.7,62,0.17,58,0.1321,50
E38000120,NHS North Hampshire CCG,7793.76,185,0.077,184,0,157
E38000121,NHS North Kirklees CCG,17567.99,57,0.181,50,0.2174,30
E38000122,NHS North Lincolnshire CCG,14994.2,94,0.135,95,0.0495,91
E38000124,NHS North Norfolk CCG,11909.41,141,0.1,156,0,157
E38000126,NHS North Staffordshire CCG,12336.69,131,0.11,135,0,157
E38000127,NHS North Tyneside CCG,16728.5,68,0.16,68,0.0763,67
E38000128,NHS North West Surrey CCG,8786.91,178,0.084,176,0.0094,147
E38000130,NHS Northumberland CCG,12768.39,124,0.115,121,0.0102,143
E38000132,NHS Nottingham City CCG,22297.73,22,0.238,20,0.2802,16
E38000133,NHS Nottingham North and East CCG,12693.36,125,0.112,133,0,157
E38000134,NHS Nottingham West CCG,12129.47,135,0.109,139,0,157
E38000135,NHS Oldham CCG,17505.32,59,0.187,45,0.2199,28
E38000136,NHS Oxfordshire CCG,8418.93,181,0.081,180,0.0101,144
E38000137,NHS Portsmouth CCG,17563.41,58,0.171,57,0.104,55
E38000138,NHS Redbridge CCG,20557.01,32,0.195,43,0.0497,90
E38000139,NHS Redditch and Bromsgrove CCG,11268.23,151,0.107,145,0.0442,94
E38000140,NHS Richmond CCG,10534.97,162,0.094,168,0,157
E38000141,NHS Rotherham CCG,17459.43,61,0.164,62,0.0659,76
E38000142,NHS Rushcliffe CCG,7754.89,186,0.076,186,0,157
E38000143,NHS Salford CCG,20777.53,31,0.218,28,0.2133,32
E38000144,NHS Sandwell and West Birmingham CCG,25411.29,11,0.292,13,0.3633,13
E38000145,NHS Scarborough and Ryedale CCG,15221.79,92,0.137,94,0.0435,96
E38000146,NHS Sheffield CCG,17669.56,54,0.181,49,0.1507,45
E38000147,NHS Shropshire CCG,13137.26,116,0.113,129,0.0052,154
E38000150,NHS Somerset CCG,11780.86,143,0.104,148,0.0092,148
E38000151,NHS South Cheshire CCG,9705.07,168,0.092,169,0.0089,150
E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,12348.72,130,0.112,131,0.0145,138
E38000154,NHS South Eastern Hampshire CCG,10655.37,160,0.1,154,0.015,136
E38000156,NHS South Kent Coast CCG,14829.75,95,0.132,98,0.0242,116
E38000157,NHS South Lincolnshire CCG,12045.78,138,0.102,151,0,157
E38000161,NHS South Sefton CCG,19629.89,36,0.204,36,0.2613,20
E38000162,NHS South Tees CCG,18186.95,49,0.197,42,0.2644,19
E38000163,NHS South Tyneside CCG,21479.71,27,0.214,30,0.1176,52
E38000164,NHS South Warwickshire CCG,9794.53,167,0.089,171,0,157
E38000165,NHS South West Lincolnshire CCG,12007.85,139,0.103,150,0,157
E38000166,NHS South Worcestershire CCG,11060.01,153,0.101,153,0.0108,142
E38000167,NHS Southampton CCG,18377.41,48,0.173,54,0.0878,61
E38000168,NHS Southend CCG,16225.31,78,0.153,74,0.0561,85
E38000170,NHS Southport and Formby CCG,14278.2,103,0.13,102,0.0256,113
E38000171,NHS Southwark CCG,26538.81,8,0.312,7,0.5,5
E38000172,NHS St Helens CCG,17121.73,63,0.168,59,0.1176,52
E38000173,NHS Stafford and Surrounds CCG,8870.36,177,0.084,178,0,157
E38000174,NHS Stockport CCG,13579.78,108,0.129,105,0.0632,80
E38000175,NHS Stoke on Trent CCG,18417.29,47,0.179,52,0.1037,56
E38000176,NHS Sunderland CCG,21041.43,30,0.217,29,0.2162,31
E38000177,NHS Surrey Downs CCG,6272.3,191,0.064,191,0,157
E38000178,NHS Surrey Heath CCG,6902.16,189,0.07,188,0,157
E38000179,NHS Sutton CCG,12575.93,128,0.114,124,0.0165,129
E38000180,NHS Swale CCG,15905.93,82,0.142,88,0.0455,93
E38000181,NHS Swindon CCG,13378.21,111,0.129,104,0.0441,95
E38000182,NHS Tameside and Glossop CCG,18108.39,50,0.171,56,0.0679,72
E38000183,NHS Telford and Wrekin CCG,17657.02,55,0.166,61,0.0741,68
E38000184,NHS Thanet CCG,18644.03,46,0.174,53,0.0714,71
E38000185,NHS Thurrock CCG,15821.48,83,0.148,81,0.051,89
E38000186,NHS Tower Hamlets CCG,30099.77,2,0.439,2,0.6944,3
E38000187,NHS Trafford CCG,13631.83,107,0.13,101,0.0725,70
E38000188,NHS Vale of York CCG,9540.44,172,0.089,170,0.0146,137
E38000189,NHS Vale Royal CCG,12137.92,134,0.114,125,0.0156,131
E38000190,NHS Wakefield CCG,15818.98,84,0.145,87,0.0335,106
E38000191,NHS Walsall CCG,20231.63,33,0.212,31,0.2395,24
E38000192,NHS Waltham Forest CCG,22656,20,0.228,24,0.1736,42
E38000193,NHS Wandsworth CCG,21792.54,25,0.21,32,0.1173,54
E38000194,NHS Warrington CCG,12840.86,122,0.121,114,0.0394,102
E38000195,NHS Warwickshire North CCG,14571.22,98,0.131,99,0.042,97
E38000196,NHS West Cheshire CCG,11573.7,148,0.113,127,0.0338,105
E38000197,NHS West Essex CCG,12636.49,126,0.111,134,0,157
E38000198,NHS West Hampshire CCG,7797.19,184,0.076,187,0,157
E38000199,NHS West Kent CCG,9694.77,169,0.088,173,0,157
E38000200,NHS West Lancashire CCG,15235.31,91,0.14,91,0.0822,64
E38000201,NHS West Leicestershire CCG,10625.98,161,0.096,163,0.0088,151
E38000202,NHS West London CCG,20195,34,0.226,25,0.2774,17
E38000203,NHS West Norfolk CCG,14436.49,101,0.122,113,0.0196,125
E38000204,NHS West Suffolk CCG,10789.48,158,0.095,166,0,157
E38000205,NHS Wigan Borough CCG,16673.48,70,0.16,69,0.065,79
E38000206,NHS Wiltshire CCG,9515.19,173,0.087,174,0.0035,155
E38000208,NHS Wirral CCG,16285.46,76,0.166,60,0.1748,41
E38000210,NHS Wolverhampton CCG,21905.8,24,0.225,26,0.2595,21
E38000211,NHS Wyre Forest CCG,13665.8,106,0.123,111,0.0154,133
E38000212,NHS Newcastle Gateshead CCG,19778.52,35,0.207,35,0.2193,29
E38000213,NHS Coastal West Sussex CCG,11097.54,152,0.099,157,0,157
E38000214,NHS Guildford and Waverley CCG,6997.7,188,0.069,189,0,157
E38000215,NHS North Cumbria CCG,11820.99,142,0.109,140,0.0097,145
E38000217,NHS Manchester CCG,27050.67,6,0.336,6,0.5,5
E38000218,NHS Norwich CCG,15363.9,89,0.148,80,0.0538,87
E38000219,NHS South Norfolk CCG,11408.15,150,0.098,159,0,157
E38000220,NHS Birmingham and Solihull CCG,19256.24,39,0.21,33,0.2584,22
E38000221,NHS Berkshire West CCG,9287.91,175,0.094,167,0.0478,92
E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",13197.73,113,0.126,108,0.0586,83
E38000223,NHS Buckinghamshire CCG,7606.57,187,0.076,185,0.0156,131
E38000224,NHS East Berkshire CCG,12614.96,127,0.12,115,0.052,88
E38000225,NHS Leeds CCG,15718.49,85,0.156,72,0.1349,48
E38000226,NHS Fylde and Wyre CCG,13420.97,110,0.118,117,0.0165,129
E38000227,NHS Greater Preston CCG,14364.32,102,0.149,77,0.1811,39
E38000228,NHS Morecambe Bay CCG,12225.26,132,0.115,122,0.0583,84
E38000229,NHS Derby and Derbyshire CCG,13752.01,104,0.127,106,0.0419,98
E38000230,NHS Devon CCG,13673.31,105,0.123,112,0.0212,120
