Time period,OrgCode,ParentOrgCode,Sex,QuitStatus,MonitoringCategory,Total
2018/19,E06000001,E12000001,Male,Quit CO,35-44,21
2018/19,E06000001,E12000001,Male,Quit CO,45-59,31
2018/19,E06000001,E12000001,Male,Quit CO,60 and over,40
2018/19,E06000001,E12000001,Male,Quit CO,Under 18,0
2018/19,E06000001,E12000001,Male,Set quit date,18-34,90
2018/19,E06000001,E12000001,Male,Set quit date,35-44,79
2018/19,E06000001,E12000001,Male,Set quit date,45-59,154
2018/19,E06000001,E12000001,Male,Set quit date,60 and over,103
2018/19,E06000001,E12000001,Male,Set quit date,Under 18,8
2018/19,E06000002,E12000001,Female,Not known,18-34,63
2018/19,E06000002,E12000001,Female,Not known,35-44,32
2018/19,E06000002,E12000001,Female,Not known,45-59,48
2018/19,E06000002,E12000001,Female,Not known,60 and over,30
2018/19,E06000002,E12000001,Female,Not known,Under 18,3
2018/19,E06000002,E12000001,Female,Not quit,18-34,81
2018/19,E06000002,E12000001,Female,Not quit,35-44,44
2018/19,E06000002,E12000001,Female,Not quit,45-59,72
2018/19,E06000002,E12000001,Female,Not quit,60 and over,50
2018/19,E06000002,E12000001,Female,Not quit,Under 18,5
2018/19,E06000002,E12000001,Female,Quit,18-34,66
2018/19,E06000002,E12000001,Female,Quit,35-44,40
2018/19,E06000002,E12000001,Female,Quit,45-59,110
2018/19,E06000002,E12000001,Female,Quit,60 and over,45
2018/19,E06000002,E12000001,Female,Quit,Under 18,1
2018/19,E06000002,E12000001,Female,Quit CO,18-34,41
2018/19,E06000002,E12000001,Female,Quit CO,35-44,23
2018/19,E06000002,E12000001,Female,Quit CO,45-59,85
2018/19,E06000002,E12000001,Female,Quit CO,60 and over,37
2018/19,E06000002,E12000001,Female,Quit CO,Under 18,0
2018/19,E06000002,E12000001,Female,Set quit date,18-34,210
2018/19,E06000002,E12000001,Female,Set quit date,35-44,116
2018/19,E06000002,E12000001,Female,Set quit date,45-59,230
2018/19,E06000002,E12000001,Female,Set quit date,60 and over,125
2018/19,E06000002,E12000001,Female,Set quit date,Under 18,9
2018/19,E06000002,E12000001,Male,Not known,18-34,23
2018/19,E06000002,E12000001,Male,Not known,35-44,14
2018/19,E06000002,E12000001,Male,Not known,45-59,31
2018/19,E06000002,E12000001,Male,Not known,60 and over,18
2018/19,E06000002,E12000001,Male,Not known,Under 18,0
2018/19,E06000002,E12000001,Male,Not quit,18-34,36
2018/19,E06000002,E12000001,Male,Not quit,35-44,28
2018/19,E06000002,E12000001,Male,Not quit,45-59,56
2018/19,E06000002,E12000001,Male,Not quit,60 and over,37
2018/19,E06000002,E12000001,Male,Not quit,Under 18,5
2018/19,E06000002,E12000001,Male,Quit,18-34,49
2018/19,E06000002,E12000001,Male,Quit,35-44,41
2018/19,E06000002,E12000001,Male,Quit,45-59,94
2018/19,E06000002,E12000001,Male,Quit,60 and over,54
2018/19,E06000002,E12000001,Male,Quit,Under 18,0
2018/19,E06000002,E12000001,Male,Quit CO,18-34,31
2018/19,E06000002,E12000001,Male,Quit CO,35-44,27
2018/19,E06000002,E12000001,Male,Quit CO,45-59,77
2018/19,E06000002,E12000001,Male,Quit CO,60 and over,45
2018/19,E06000002,E12000001,Male,Quit CO,Under 18,0
2018/19,E06000002,E12000001,Male,Set quit date,18-34,108
2018/19,E06000002,E12000001,Male,Set quit date,35-44,83
2018/19,E06000002,E12000001,Male,Set quit date,45-59,181
2018/19,E06000002,E12000001,Male,Set quit date,60 and over,109
2018/19,E06000002,E12000001,Male,Set quit date,Under 18,5
2018/19,E06000003,E12000001,Female,Not known,18-34,53
2018/19,E06000003,E12000001,Female,Not known,35-44,45
2018/19,E06000003,E12000001,Female,Not known,45-59,54
2018/19,E06000003,E12000001,Female,Not known,60 and over,35
2018/19,E06000003,E12000001,Female,Not known,Under 18,6
2018/19,E06000003,E12000001,Female,Not quit,18-34,47
2018/19,E06000003,E12000001,Female,Not quit,35-44,38
2018/19,E06000003,E12000001,Female,Not quit,45-59,68
2018/19,E06000003,E12000001,Female,Not quit,60 and over,38
2018/19,E06000003,E12000001,Female,Not quit,Under 18,2
2018/19,E06000003,E12000001,Female,Quit,18-34,47
2018/19,E06000003,E12000001,Female,Quit,35-44,52
2018/19,E06000003,E12000001,Female,Quit,45-59,95
2018/19,E06000003,E12000001,Female,Quit,60 and over,99
2018/19,E06000003,E12000001,Female,Quit,Under 18,2
2018/19,E06000003,E12000001,Female,Quit CO,18-34,35
2018/19,E06000003,E12000001,Female,Quit CO,35-44,44
2018/19,E06000003,E12000001,Female,Quit CO,45-59,81
2018/19,E06000003,E12000001,Female,Quit CO,60 and over,86
2018/19,E06000003,E12000001,Female,Quit CO,Under 18,0
2018/19,E06000003,E12000001,Female,Set quit date,18-34,147
2018/19,E06000003,E12000001,Female,Set quit date,35-44,135
2018/19,E06000003,E12000001,Female,Set quit date,45-59,217
2018/19,E06000003,E12000001,Female,Set quit date,60 and over,172
2018/19,E06000003,E12000001,Female,Set quit date,Under 18,10
2018/19,E06000003,E12000001,Male,Not known,18-34,24
2018/19,E06000003,E12000001,Male,Not known,35-44,38
2018/19,E06000003,E12000001,Male,Not known,45-59,43
2018/19,E06000003,E12000001,Male,Not known,60 and over,21
2018/19,E06000003,E12000001,Male,Not known,Under 18,4
2018/19,E06000003,E12000001,Male,Not quit,18-34,12
2018/19,E06000003,E12000001,Male,Not quit,35-44,31
2018/19,E06000003,E12000001,Male,Not quit,45-59,50
2018/19,E06000003,E12000001,Male,Not quit,60 and over,21
2018/19,E06000003,E12000001,Male,Not quit,Under 18,0
2018/19,E06000003,E12000001,Male,Quit,18-34,47
2018/19,E06000003,E12000001,Male,Quit,35-44,55
2018/19,E06000003,E12000001,Male,Quit,45-59,95
2018/19,E06000003,E12000001,Male,Quit,60 and over,65
2018/19,E06000003,E12000001,Male,Quit,Under 18,0
2018/19,E06000003,E12000001,Male,Quit CO,18-34,31
2018/19,E06000003,E12000001,Male,Quit CO,35-44,46
2018/19,E06000003,E12000001,Male,Quit CO,45-59,82
2018/19,E06000003,E12000001,Male,Quit CO,60 and over,54
2018/19,E06000003,E12000001,Male,Quit CO,Under 18,0
2018/19,E06000003,E12000001,Male,Set quit date,18-34,83
2018/19,E06000003,E12000001,Male,Set quit date,35-44,124
2018/19,E06000003,E12000001,Male,Set quit date,45-59,188
2018/19,E06000003,E12000001,Male,Set quit date,60 and over,107
2018/19,E06000003,E12000001,Male,Set quit date,Under 18,4
2018/19,E06000004,E12000001,Female,Not known,18-34,76
2018/19,E06000004,E12000001,Female,Not known,35-44,46
2018/19,E06000004,E12000001,Female,Not known,45-59,51
2018/19,E06000004,E12000001,Female,Not known,60 and over,29
2018/19,E06000004,E12000001,Female,Not known,Under 18,4
2018/19,E06000004,E12000001,Female,Not quit,18-34,147
2018/19,E06000004,E12000001,Female,Not quit,35-44,56
2018/19,E06000004,E12000001,Female,Not quit,45-59,116
2018/19,E06000004,E12000001,Female,Not quit,60 and over,63
2018/19,E06000004,E12000001,Female,Not quit,Under 18,10
2018/19,E06000004,E12000001,Female,Quit,18-34,95
2018/19,E06000004,E12000001,Female,Quit,35-44,54
2018/19,E06000004,E12000001,Female,Quit,45-59,127
2018/19,E06000004,E12000001,Female,Quit,60 and over,93
2018/19,E06000004,E12000001,Female,Quit,Under 18,5
2018/19,E06000004,E12000001,Female,Quit CO,18-34,38
2018/19,E06000004,E12000001,Female,Quit CO,35-44,30
2018/19,E06000004,E12000001,Female,Quit CO,45-59,82
2018/19,E06000004,E12000001,Female,Quit CO,60 and over,66
2018/19,E06000004,E12000001,Female,Quit CO,Under 18,1
2018/19,E06000004,E12000001,Female,Set quit date,18-34,318
2018/19,E06000004,E12000001,Female,Set quit date,35-44,156
2018/19,E06000004,E12000001,Female,Set quit date,45-59,294
2018/19,E06000004,E12000001,Female,Set quit date,60 and over,185
2018/19,E06000004,E12000001,Female,Set quit date,Under 18,19
2018/19,E06000004,E12000001,Male,Not known,18-34,39
2018/19,E06000004,E12000001,Male,Not known,35-44,33
2018/19,E06000004,E12000001,Male,Not known,45-59,31
2018/19,E06000004,E12000001,Male,Not known,60 and over,20
2018/19,E06000004,E12000001,Male,Not known,Under 18,3
2018/19,E06000004,E12000001,Male,Not quit,18-34,76
2018/19,E06000004,E12000001,Male,Not quit,35-44,43
2018/19,E06000004,E12000001,Male,Not quit,45-59,93
2018/19,E06000004,E12000001,Male,Not quit,60 and over,40
2018/19,E06000004,E12000001,Male,Not quit,Under 18,6
2018/19,E06000004,E12000001,Male,Quit,18-34,69
2018/19,E06000004,E12000001,Male,Quit,35-44,67
2018/19,E06000004,E12000001,Male,Quit,45-59,118
2018/19,E06000004,E12000001,Male,Quit,60 and over,62
2018/19,E06000004,E12000001,Male,Quit,Under 18,2
2018/19,E06000004,E12000001,Male,Quit CO,18-34,48
2018/19,E06000004,E12000001,Male,Quit CO,35-44,50
2018/19,E06000004,E12000001,Male,Quit CO,45-59,80
2018/19,E06000004,E12000001,Male,Quit CO,60 and over,49
2018/19,E06000004,E12000001,Male,Quit CO,Under 18,0
2018/19,E06000004,E12000001,Male,Set quit date,18-34,184
2018/19,E06000004,E12000001,Male,Set quit date,35-44,143
2018/19,E06000004,E12000001,Male,Set quit date,45-59,242
2018/19,E06000004,E12000001,Male,Set quit date,60 and over,122
2018/19,E06000004,E12000001,Male,Set quit date,Under 18,11
2018/19,E06000005,E12000001,Female,Not known,18-34,15
2018/19,E06000005,E12000001,Female,Not known,35-44,4
2018/19,E06000005,E12000001,Female,Not known,45-59,9
2018/19,E06000005,E12000001,Female,Not known,60 and over,5
2018/19,E06000005,E12000001,Female,Not known,Under 18,1
2018/19,E06000005,E12000001,Female,Not quit,18-34,12
2018/19,E06000005,E12000001,Female,Not quit,35-44,4
2018/19,E06000005,E12000001,Female,Not quit,45-59,8
2018/19,E06000005,E12000001,Female,Not quit,60 and over,4
2018/19,E06000005,E12000001,Female,Not quit,Under 18,0
2018/19,E06000005,E12000001,Female,Quit,18-34,21
2018/19,E06000005,E12000001,Female,Quit,35-44,13
2018/19,E06000005,E12000001,Female,Quit,45-59,43
2018/19,E06000005,E12000001,Female,Quit,60 and over,26
2018/19,E06000005,E12000001,Female,Quit,Under 18,0
2018/19,E06000005,E12000001,Female,Quit CO,18-34,18
2018/19,E06000005,E12000001,Female,Quit CO,35-44,12
2018/19,E06000005,E12000001,Female,Quit CO,45-59,42
2018/19,E06000005,E12000001,Female,Quit CO,60 and over,21
2018/19,E06000005,E12000001,Female,Quit CO,Under 18,0
2018/19,E06000005,E12000001,Female,Set quit date,18-34,48
2018/19,E06000005,E12000001,Female,Set quit date,35-44,21
2018/19,E06000005,E12000001,Female,Set quit date,45-59,60
2018/19,E06000005,E12000001,Female,Set quit date,60 and over,35
2018/19,E06000005,E12000001,Female,Set quit date,Under 18,1
2018/19,E06000005,E12000001,Male,Not known,18-34,1
2018/19,E06000005,E12000001,Male,Not known,35-44,4
2018/19,E06000005,E12000001,Male,Not known,45-59,4
2018/19,E06000005,E12000001,Male,Not known,60 and over,5
2018/19,E06000005,E12000001,Male,Not known,Under 18,0
2018/19,E06000005,E12000001,Male,Not quit,18-34,4
2018/19,E06000005,E12000001,Male,Not quit,35-44,4
2018/19,E06000005,E12000001,Male,Not quit,45-59,6
2018/19,E06000005,E12000001,Male,Not quit,60 and over,2
2018/19,E06000005,E12000001,Male,Not quit,Under 18,0
2018/19,E06000005,E12000001,Male,Quit,18-34,11
2018/19,E06000005,E12000001,Male,Quit,35-44,19
2018/19,E06000005,E12000001,Male,Quit,45-59,34
2018/19,E06000005,E12000001,Male,Quit,60 and over,23
2018/19,E06000005,E12000001,Male,Quit,Under 18,0
2018/19,E06000005,E12000001,Male,Quit CO,18-34,11
2018/19,E06000005,E12000001,Male,Quit CO,35-44,18
2018/19,E06000005,E12000001,Male,Quit CO,45-59,31
2018/19,E06000005,E12000001,Male,Quit CO,60 and over,22
2018/19,E06000005,E12000001,Male,Quit CO,Under 18,0
2018/19,E06000005,E12000001,Male,Set quit date,18-34,16
2018/19,E06000005,E12000001,Male,Set quit date,35-44,27
2018/19,E06000005,E12000001,Male,Set quit date,45-59,44
2018/19,E06000005,E12000001,Male,Set quit date,60 and over,30
2018/19,E06000005,E12000001,Male,Set quit date,Under 18,0
2018/19,E06000006,E12000002,Female,Not known,18-34,29
2018/19,E06000006,E12000002,Female,Not known,35-44,23
2018/19,E06000006,E12000002,Female,Not known,45-59,18
2018/19,E06000006,E12000002,Female,Not known,60 and over,9
2018/19,E06000006,E12000002,Female,Not known,Under 18,3
2018/19,E06000006,E12000002,Female,Not quit,18-34,43
2018/19,E06000006,E12000002,Female,Not quit,35-44,21
2018/19,E06000006,E12000002,Female,Not quit,45-59,30
2018/19,E06000006,E12000002,Female,Not quit,60 and over,16
2018/19,E06000006,E12000002,Female,Not quit,Under 18,0
2018/19,E06000006,E12000002,Female,Quit,18-34,80
2018/19,E06000006,E12000002,Female,Quit,35-44,77
2018/19,E06000006,E12000002,Female,Quit,45-59,95
2018/19,E06000006,E12000002,Female,Quit,60 and over,69
2018/19,E06000006,E12000002,Female,Quit,Under 18,1
2018/19,E06000006,E12000002,Female,Quit CO,18-34,58
2018/19,E06000006,E12000002,Female,Quit CO,35-44,51
2018/19,E06000006,E12000002,Female,Quit CO,45-59,72
2018/19,E06000006,E12000002,Female,Quit CO,60 and over,60
2018/19,E06000006,E12000002,Female,Quit CO,Under 18,0
2018/19,E06000006,E12000002,Female,Set quit date,18-34,152
2018/19,E06000006,E12000002,Female,Set quit date,35-44,121
2018/19,E06000006,E12000002,Female,Set quit date,45-59,143
2018/19,E06000006,E12000002,Female,Set quit date,60 and over,94
2018/19,E06000006,E12000002,Female,Set quit date,Under 18,4
2018/19,E06000006,E12000002,Male,Not known,18-34,16
2018/19,E06000006,E12000002,Male,Not known,35-44,19
2018/19,E06000006,E12000002,Male,Not known,45-59,14
2018/19,E06000006,E12000002,Male,Not known,60 and over,10
2018/19,E06000006,E12000002,Male,Not known,Under 18,0
2018/19,E06000006,E12000002,Male,Not quit,18-34,16
2018/19,E06000006,E12000002,Male,Not quit,35-44,31
2018/19,E06000006,E12000002,Male,Not quit,45-59,34
2018/19,E06000006,E12000002,Male,Not quit,60 and over,16
2018/19,E06000006,E12000002,Male,Not quit,Under 18,2
2018/19,E06000006,E12000002,Male,Quit,18-34,41
2018/19,E06000006,E12000002,Male,Quit,35-44,60
2018/19,E06000006,E12000002,Male,Quit,45-59,79
2018/19,E06000006,E12000002,Male,Quit,60 and over,66
2018/19,E06000006,E12000002,Male,Quit,Under 18,1
2018/19,E06000006,E12000002,Male,Quit CO,18-34,23
2018/19,E06000006,E12000002,Male,Quit CO,35-44,43
2018/19,E06000006,E12000002,Male,Quit CO,45-59,55
2018/19,E06000006,E12000002,Male,Quit CO,60 and over,52
2018/19,E06000006,E12000002,Male,Quit CO,Under 18,0
2018/19,E06000006,E12000002,Male,Set quit date,18-34,73
2018/19,E06000006,E12000002,Male,Set quit date,35-44,110
2018/19,E06000006,E12000002,Male,Set quit date,45-59,127
2018/19,E06000006,E12000002,Male,Set quit date,60 and over,92
2018/19,E06000006,E12000002,Male,Set quit date,Under 18,3
2018/19,E06000007,E12000002,Female,Not known,18-34,17
2018/19,E06000007,E12000002,Female,Not known,35-44,8
2018/19,E06000007,E12000002,Female,Not known,45-59,9
2018/19,E06000007,E12000002,Female,Not known,60 and over,7
2018/19,E06000007,E12000002,Female,Not known,Under 18,1
2018/19,E06000007,E12000002,Female,Not quit,18-34,26
2018/19,E06000007,E12000002,Female,Not quit,35-44,5
2018/19,E06000007,E12000002,Female,Not quit,45-59,26
2018/19,E06000007,E12000002,Female,Not quit,60 and over,7
2018/19,E06000007,E12000002,Female,Not quit,Under 18,0
2018/19,E06000007,E12000002,Female,Quit,18-34,119
2018/19,E06000007,E12000002,Female,Quit,35-44,81
2018/19,E06000007,E12000002,Female,Quit,45-59,143
2018/19,E06000007,E12000002,Female,Quit,60 and over,105
2018/19,E06000007,E12000002,Female,Quit,Under 18,3
2018/19,E06000007,E12000002,Female,Quit CO,18-34,41
2018/19,E06000007,E12000002,Female,Quit CO,35-44,23
2018/19,E06000007,E12000002,Female,Quit CO,45-59,33
2018/19,E06000007,E12000002,Female,Quit CO,60 and over,33
2018/19,E06000007,E12000002,Female,Quit CO,Under 18,1
2018/19,E06000007,E12000002,Female,Set quit date,18-34,162
2018/19,E06000007,E12000002,Female,Set quit date,35-44,94
2018/19,E06000007,E12000002,Female,Set quit date,45-59,178
2018/19,E06000007,E12000002,Female,Set quit date,60 and over,119
2018/19,E06000007,E12000002,Female,Set quit date,Under 18,4
2018/19,E06000007,E12000002,Male,Not known,18-34,13
2018/19,E06000007,E12000002,Male,Not known,35-44,12
2018/19,E06000007,E12000002,Male,Not known,45-59,14
2018/19,E06000007,E12000002,Male,Not known,60 and over,0
2018/19,E06000007,E12000002,Male,Not known,Under 18,0
2018/19,E06000007,E12000002,Male,Not quit,18-34,19
2018/19,E06000007,E12000002,Male,Not quit,35-44,12
2018/19,E06000007,E12000002,Male,Not quit,45-59,19
2018/19,E06000007,E12000002,Male,Not quit,60 and over,20
2018/19,E06000007,E12000002,Male,Not quit,Under 18,0
2018/19,E06000007,E12000002,Male,Quit,18-34,80
2018/19,E06000007,E12000002,Male,Quit,35-44,109
2018/19,E06000007,E12000002,Male,Quit,45-59,141
2018/19,E06000007,E12000002,Male,Quit,60 and over,106
2018/19,E06000007,E12000002,Male,Quit,Under 18,1
2018/19,E06000007,E12000002,Male,Quit CO,18-34,35
2018/19,E06000007,E12000002,Male,Quit CO,35-44,42
2018/19,E06000007,E12000002,Male,Quit CO,45-59,53
2018/19,E06000007,E12000002,Male,Quit CO,60 and over,40
2018/19,E06000007,E12000002,Male,Quit CO,Under 18,1
2018/19,E06000007,E12000002,Male,Set quit date,18-34,112
2018/19,E06000007,E12000002,Male,Set quit date,35-44,133
2018/19,E06000007,E12000002,Male,Set quit date,45-59,174
2018/19,E06000007,E12000002,Male,Set quit date,60 and over,126
2018/19,E06000007,E12000002,Male,Set quit date,Under 18,1
2018/19,E06000008,E12000002,Female,Not known,18-34,0
2018/19,E06000008,E12000002,Female,Not known,35-44,0
2018/19,E06000008,E12000002,Female,Not known,45-59,0
2018/19,E06000008,E12000002,Female,Not known,60 and over,2
2018/19,E06000008,E12000002,Female,Not known,Under 18,0
2018/19,E06000008,E12000002,Female,Not quit,18-34,82
2018/19,E06000008,E12000002,Female,Not quit,35-44,55
2018/19,E06000008,E12000002,Female,Not quit,45-59,101
2018/19,E06000008,E12000002,Female,Not quit,60 and over,49
2018/19,E06000008,E12000002,Female,Not quit,Under 18,3
2018/19,E06000008,E12000002,Female,Quit,18-34,23
2018/19,E06000008,E12000002,Female,Quit,35-44,30
2018/19,E06000008,E12000002,Female,Quit,45-59,48
2018/19,E06000008,E12000002,Female,Quit,60 and over,42
2018/19,E06000008,E12000002,Female,Quit,Under 18,0
2018/19,E06000008,E12000002,Female,Quit CO,18-34,21
2018/19,E06000008,E12000002,Female,Quit CO,35-44,30
2018/19,E06000008,E12000002,Female,Quit CO,45-59,48
2018/19,E06000008,E12000002,Female,Quit CO,60 and over,40
2018/19,E06000008,E12000002,Female,Quit CO,Under 18,0
2018/19,E06000008,E12000002,Female,Set quit date,18-34,105
2018/19,E06000008,E12000002,Female,Set quit date,35-44,85
2018/19,E06000008,E12000002,Female,Set quit date,45-59,149
2018/19,E06000008,E12000002,Female,Set quit date,60 and over,93
2018/19,E06000008,E12000002,Female,Set quit date,Under 18,3
2018/19,E06000008,E12000002,Male,Not known,18-34,0
2018/19,E06000008,E12000002,Male,Not known,35-44,0
2018/19,E06000008,E12000002,Male,Not known,45-59,0
2018/19,E06000008,E12000002,Male,Not known,60 and over,0
2018/19,E06000008,E12000002,Male,Not known,Under 18,0
2018/19,E06000008,E12000002,Male,Not quit,18-34,98
2018/19,E06000008,E12000002,Male,Not quit,35-44,72
2018/19,E06000008,E12000002,Male,Not quit,45-59,98
2018/19,E06000008,E12000002,Male,Not quit,60 and over,72
2018/19,E06000008,E12000002,Male,Not quit,Under 18,3
2018/19,E06000008,E12000002,Male,Quit,18-34,23
2018/19,E06000008,E12000002,Male,Quit,35-44,49
2018/19,E06000008,E12000002,Male,Quit,45-59,78
2018/19,E06000008,E12000002,Male,Quit,60 and over,43
2018/19,E06000008,E12000002,Male,Quit,Under 18,2
2018/19,E06000008,E12000002,Male,Quit CO,18-34,23
2018/19,E06000008,E12000002,Male,Quit CO,35-44,49
2018/19,E06000008,E12000002,Male,Quit CO,45-59,75
2018/19,E06000008,E12000002,Male,Quit CO,60 and over,43
2018/19,E06000008,E12000002,Male,Quit CO,Under 18,2
2018/19,E06000008,E12000002,Male,Set quit date,18-34,121
2018/19,E06000008,E12000002,Male,Set quit date,35-44,121
2018/19,E06000008,E12000002,Male,Set quit date,45-59,176
2018/19,E06000008,E12000002,Male,Set quit date,60 and over,115
2018/19,E06000008,E12000002,Male,Set quit date,Under 18,5
2018/19,E06000009,E12000002,Female,Not known,18-34,26
2018/19,E06000009,E12000002,Female,Not known,35-44,20
2018/19,E06000009,E12000002,Female,Not known,45-59,32
2018/19,E06000009,E12000002,Female,Not known,60 and over,24
2018/19,E06000009,E12000002,Female,Not known,Under 18,1
2018/19,E06000009,E12000002,Female,Not quit,18-34,68
2018/19,E06000009,E12000002,Female,Not quit,35-44,61
2018/19,E06000009,E12000002,Female,Not quit,45-59,96
2018/19,E06000009,E12000002,Female,Not quit,60 and over,54
2018/19,E06000009,E12000002,Female,Not quit,Under 18,2
2018/19,E06000009,E12000002,Female,Quit,18-34,15
2018/19,E06000009,E12000002,Female,Quit,35-44,16
2018/19,E06000009,E12000002,Female,Quit,45-59,28
2018/19,E06000009,E12000002,Female,Quit,60 and over,31
2018/19,E06000009,E12000002,Female,Quit,Under 18,0
2018/19,E06000009,E12000002,Female,Quit CO,18-34,11
2018/19,E06000009,E12000002,Female,Quit CO,35-44,9
2018/19,E06000009,E12000002,Female,Quit CO,45-59,19
2018/19,E06000009,E12000002,Female,Quit CO,60 and over,17
2018/19,E06000009,E12000002,Female,Quit CO,Under 18,0
2018/19,E06000009,E12000002,Female,Set quit date,18-34,109
2018/19,E06000009,E12000002,Female,Set quit date,35-44,97
2018/19,E06000009,E12000002,Female,Set quit date,45-59,156
2018/19,E06000009,E12000002,Female,Set quit date,60 and over,109
2018/19,E06000009,E12000002,Female,Set quit date,Under 18,3
2018/19,E06000009,E12000002,Male,Not known,18-34,24
2018/19,E06000009,E12000002,Male,Not known,35-44,8
2018/19,E06000009,E12000002,Male,Not known,45-59,59
2018/19,E06000009,E12000002,Male,Not known,60 and over,37
2018/19,E06000009,E12000002,Male,Not known,Under 18,0
2018/19,E06000009,E12000002,Male,Not quit,18-34,35
2018/19,E06000009,E12000002,Male,Not quit,35-44,44
2018/19,E06000009,E12000002,Male,Not quit,45-59,67
2018/19,E06000009,E12000002,Male,Not quit,60 and over,53
2018/19,E06000009,E12000002,Male,Not quit,Under 18,0
2018/19,E06000009,E12000002,Male,Quit,18-34,11
2018/19,E06000009,E12000002,Male,Quit,35-44,6
2018/19,E06000009,E12000002,Male,Quit,45-59,17
2018/19,E06000009,E12000002,Male,Quit,60 and over,18
2018/19,E06000009,E12000002,Male,Quit,Under 18,0
2018/19,E06000009,E12000002,Male,Quit CO,18-34,11
2018/19,E06000009,E12000002,Male,Quit CO,35-44,5
2018/19,E06000009,E12000002,Male,Quit CO,45-59,17
2018/19,E06000009,E12000002,Male,Quit CO,60 and over,13
2018/19,E06000009,E12000002,Male,Quit CO,Under 18,0
2018/19,E06000009,E12000002,Male,Set quit date,18-34,70
2018/19,E06000009,E12000002,Male,Set quit date,35-44,58
2018/19,E06000009,E12000002,Male,Set quit date,45-59,143
2018/19,E06000009,E12000002,Male,Set quit date,60 and over,108
2018/19,E06000009,E12000002,Male,Set quit date,Under 18,0
2018/19,E06000010,E12000003,Female,Not known,18-34,50
2018/19,E06000010,E12000003,Female,Not known,35-44,30
2018/19,E06000010,E12000003,Female,Not known,45-59,33
2018/19,E06000010,E12000003,Female,Not known,60 and over,16
2018/19,E06000010,E12000003,Female,Not known,Under 18,0
2018/19,E06000010,E12000003,Female,Not quit,18-34,25
2018/19,E06000010,E12000003,Female,Not quit,35-44,20
2018/19,E06000010,E12000003,Female,Not quit,45-59,42
2018/19,E06000010,E12000003,Female,Not quit,60 and over,41
2018/19,E06000010,E12000003,Female,Not quit,Under 18,0
2018/19,E06000010,E12000003,Female,Quit,18-34,126
2018/19,E06000010,E12000003,Female,Quit,35-44,120
2018/19,E06000010,E12000003,Female,Quit,45-59,208
2018/19,E06000010,E12000003,Female,Quit,60 and over,156
2018/19,E06000010,E12000003,Female,Quit,Under 18,1
2018/19,E06000010,E12000003,Female,Quit CO,18-34,76
2018/19,E06000010,E12000003,Female,Quit CO,35-44,71
2018/19,E06000010,E12000003,Female,Quit CO,45-59,130
2018/19,E06000010,E12000003,Female,Quit CO,60 and over,89
2018/19,E06000010,E12000003,Female,Quit CO,Under 18,0
2018/19,E06000010,E12000003,Female,Set quit date,18-34,201
2018/19,E06000010,E12000003,Female,Set quit date,35-44,170
2018/19,E06000010,E12000003,Female,Set quit date,45-59,283
