,D82096,G81030,G81053,H84629,P89026,M82019,L83044,H82035,D82063,J83002,M81600,N81053,G82052,J81048,M82044,M82060,H81028,B81026,F86040,N81052,G85057,M91015,J82012,J82218,D83041,F86004,J82155,F86010,E82080,B82017,B87001,C83036,J82138,F83034,J82147,F81038,G83021,J81014,E83009,M91008,E81046,N81020,B83042,D81036,M83100,D82006,G84003,A82028,B84011,D83047,F81017,G82041,M87602,M85092,C85022,J82093,H82036,B82050,N83028,J81056,G85125,G82133,F81023,F81082,B83028,M91036,F81049,J82085,F81206,K82039,P85017,H85659,M81049,J81081,L82041,F81120,F86020,L83011,M81063,D83012,J82161,D82062,F81036,M91604,E85663,M83006,M83108,J81006,A83046,P89017,C85001,J81047,E81048,C84133,J82016,J82102,B82025,H82040,A86004,D81032,F81035,J82210,D82005,G82019,G83034,H82012,C84024,D82029,A82013,A82049,M91611,C83035,J82134,A81026,J81031,H85100,L83100,F81219,J84020,K81610,K81006,F81075,B82033,J81637,M83616,M87024,C82008,E83656,M83092,L83087,C83072,L84038,F81696,K81027,J82077,M83727,E81002,J82034,J81034,J82127,B82022,J82104,J82156,D81046,L83121,C88021,M82016,C84009,M82033,H85027,E81024,E82089,L84015,D82012,M85730,D82105,Y02787,J84015,G82762,J82046,F86018,Y02212,M84013,E81054,J82098,J82646,M81080,G82753,G82059,H82023,G85053,B83045,Y02414,F84731,P83011,J82090,C83064,M83025,F81123,G85685,G81076,F81061,J81640,K81103,J82149,M89007,G85721,J81017,E85718,G82769,J81087,D83048,L83092,J81062,F86057,J82083,F86060,N85012,J82196,E82007,E81009,G83009,K82007,K84044,F81013,P89027,F86639,F86689,J82199,J81009,J81021,N81042,E82085,J82214,J82059,C83029,C81021,B87007,D81058,M83015,E85685,Y01839,M82039,P81143,H82643,N81090,A81002,M88018,F81114,P85016,B81017,G82096,Y00984,C88018,H82017,J82084,E82661,C83080,E87029,N85648,J82195,H85041,D82054,P88026,Y01922,E85110,C88073,E81017,Y02463,E87762,Y03664,N82082,L83005,Y01128,M91629,F81213,E84078,J82050,Y05129,D81004,E86024,J82143,Y00955,Y01200,E81004,J81041,G82080,E85120,J82121,M87007,P83621,E81026,F81024,A88007,D82018,E82005,C82082,H81081,E82057,G82226,L85026,Y02986,G82137,M82002,G82631,E81037,K82045,J84008,K81100,L81081,E82069,E82093,E84667,K81012,K81081,P86008,K81030,J81010,C88079,D82106,C81092,K83618,L83097,Y00527,C83033,D82016,K82032,D81047,A83045,D82004,P81152,B85033,C81075,D82071,D81030,L85050,E81027,F81025,M83072,P91615,J82106,F86073,L84075,E82019,D82013,K82057,L85062,L82021,P89020,M83701,A82047,H83018,D82628,Y02167,G82141,G81040,E84009,L85039,Y00825,G81035,H85653,C83009,G82057,J82100,B83011,F81066,C87007,G82235,G82073,G85114,E82111,H82034,D81017,G82048,D81059,D82036,F81105,K84035,G82122,B81022,J81634,F83027,E82025,B83023,B85015,M81013,M89016,Y02900,C87009,C87606,D82044,J81632,C88078,P89015,F85072,G82215,L83025,K83621,J81058,A85001,M82007,D82047,K83043,A82050,P81213,M85007,F81068,E82044,J84010,E82075,F81096,H82007,D81010,M82018,D82050,H82039,Y02826,L83055,P88011,J82072,P81069,Y05501,G84018,E82061,J82144,K84001,P81046,A83034,B81617,K84027,J82069,M92043,M88042,D83067,G82015,M92024,E81006,B81065,J82132,D81034,E83012,K82067,C88027,A82032,G82025,D82007,C83025,P84651,D82045,J83020,Y02115,D82040,J82061,E81011,J82044,E83026,A82021,E87738,L85015,P89008,M81045,L85016,K83041,D81013,K81078,G82197,Y02065,E85008,P87036,F86655,A85017,F81128,C84004,A83074,M83140,E82001,E81033,B85055,L81013,B83020,Y00048,F81152,F86666,D82041,N82655,D82076,P81204,G82097,J84014,K82078,D82073,A85005,H81078,D82020,F81041,H84625,K81062,P86010,L83024,M83070,M83068,P81721,M83024,L81064,F81081,Y02575,E81035,C83057,E81008,M82058,H81029,E82091,F86704,Y02583,F81032,E82056,M92001,M92003,E82024,H82065,E82013,D82104,P83004,F81106,C88038,D83008,B85020,D83016,K83040,K82073,J82622,M85026,F83002,P81196,J82119,M85058,P84018,J82192,L81014,E81014,C83056,E81052,G82211,P81070,A83022,B82026,M84044,E82107,B81055,M84004,M83074,F82007,Y04952,J82164,F81057,F86637,C83058,H81638,J82639,D82030,E83049,H81042,G82604,D82080,P81201,C83082,B83628,Y02646,A83006,P89006,J84019,B82049,D82067,D82032,J83026,E82041,M86017,M83601,C84106,C81086,G84004,D82056,B81003,D82017,E85119,D82003,E81074,G85104,B81064,M81092,B81603,H82037,E82073,J84018,E87013,P84070,M81094,C88083,M81021,P88031,K81028,P92616,Y02521,L82022,D81050,Y05583,J82022,L84041,A83055,F82030,K83021,L81024,P81771,E82084,M92019,C82062,Y05580,E83045,Y01124,D82072,J82002,E82083,H84032,F81150,E82124,B82054,J83059,G85008,J81078,J81012,G83028
2015-11-01,56,100,,200,224,60,,456,312,100,,28,,,28,30,100,84,,100,,128,100,224,,,56,,56,100,,56,56,400,112,56,,224,,100,,,,,56,56,,,28,,,,84,,56,84,100,100,56,112,84,60,,56,100,28,84,56,,,224,,28,84,,,,112,,28,,28,224,,,84,,168,,,,112,,,100,,,100,,,,56,168,60,28,112,,84,200,,,,200,112,,,,112,100,,200,84,56,84,,,,,,,,,,56,400,,,100,,,,,112,28,,,,,,,,224,112,100,,56,,168,,,,,,,112,,,,,,224,,,,,,,,400,112,56,,,168,400,112,,100,,,100,,100,,,,112,,,,,,,,,,,,,100,,20,,,100,56,,,,,,,,,,,,,105,,56,48,,56,,100,180,,,100,,112,,,,,56,224,,56,,1,56,112,,336,56,100,,100,56,,,,56,,168,100,28,56,56,100,90,2,112,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,56,200,100,,224,60,,212,100,,112,28,240,,28,,100,112,120,,186,128,268,112,,,280,224,56,,,56,84,200,,,,112,,,,,,,112,,100,60,28,,,,,,112,84,100,,112,100,28,,160,56,152,35,84,,,,224,,,84,,,,,,28,,28,224,184,56,84,,268,,,,112,,,100,,,100,,56,,56,84,30,28,56,,84,,,112,,212,112,,,,56,100,14,,84,,84,,100,,,40,,,,100,56,,,,200,,168,28,,,,,100,200,,,,,,224,,168,112,,,,300,,100,,,112,,56,,,,224,,,,,,336,,,,70,,,112,,,,,,,,,,,,56,,,100,,,,,,,,,,224,100,300,25,,,,56,,,,,,100,,,,,,,84,,56,24,,56,,,,,56,,,112,,,56,,56,168,28,56,,1,112,,,,56,200,,200,112,84,,,,100,,,,,112,,180,,,324,28,100,56,36,56,28,140,100,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,56,,,,,60,,156,300,,56,28,,,,60,200,84,,100,,268,,112,,,196,,28,,,56,56,,112,,,224,28,100,,,,,,,,60,28,,,,,,56,168,100,,56,212,98,60,,56,152,28,,,,,,,28,84,21,,50,100,,28,,,424,,,84,,212,,,,112,,,160,,,100,,,,56,84,30,,,,84,,,112,,324,,,,,,,,,84,56,84,,,,,40,,,,,56,,,100,,,,36,,112,28,,,,,,,,,224,,,,,168,,,,,,,56,,56,,,,,100,,,,,336,,,112,56,56,,112,200,112,,100,,,130,,100,,,,112,,200,100,,,,,,,240,,224,100,,10,,,,56,,,,,,,100,,,,,,84,,56,,,56,,,60,,56,,,112,,,28,,,168,,,,1,,,,336,,100,,600,,,,,,,168,,,,,100,,,112,224,,,,,,,,,,100,112,84,200,100,56,21,56,56,28,28,56,100,56,56,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,56,100,100,,224,120,,456,312,100,56,,240,,56,30,100,84,,100,186,268,268,112,,,280,224,,,,56,56,,,,,56,,,,,,,56,,,60,28,,336,,,,56,,,,56,140,70,60,,112,152,28,168,,,,,,28,84,,,,,,56,,28,224,184,56,84,,112,,,,112,,,260,,,100,,,,56,84,30,,112,,84,,,112,,324,112,,,,56,100,,,,,84,,,,,40,,,84,100,56,400,200,,100,,168,36,,112,,,,200,,100,,,224,,100,168,112,,,,400,,,,252,168,,,,,,,,,336,,,168,,,,56,56,100,112,100,,168,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,56,,,,,,100,100,,,,,,105,,,,252,56,,,60,,56,,,,,,28,100,,168,,,,,112,,,,56,300,,,56,84,,,,100,336,,56,,,,,,,224,,100,,,,,280,,,100,112,,,,,28,,88,,28,,,,56,,100,28,56,100,100,14,56,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,56,200,,,,60,,156,,100,112,28,240,,28,30,100,84,,100,,100,,,,,,224,,,,112,112,,112,,,224,,,,,,,56,56,,60,28,,,,,,56,,,,56,140,56,120,,,152,28,84,,,,,,28,84,,,,100,,28,,28,,,,168,,112,,,,112,,,60,,,100,,,,56,84,,,56,,84,,,112,,112,,,,,,,,,,,84,,,,,40,,,84,,56,,200,,100,,,36,,112,28,,100,200,,,,,448,,,168,56,,168,,,,100,,,56,,56,,,,,,,,,84,224,,,112,70,56,,112,100,112,,,,,100,,100,,,,,,524,,,,,,,,120,224,224,100,300,5,,,,56,,,,,,,,,,,,,84,,,,,56,,,,,56,,,224,,,,,,,,,,,,,,336,,100,,56,56,,,,,,,,56,,,100,,,112,224,,100,,,,,140,,200,200,,,,,112,28,,200,,56,,60,,56,,,,,,,56,,,100,56,56,28,56,56,56,56,100,100,14,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,112,100,,,224,,,156,312,100,84,28,240,,28,60,100,84,240,,,296,268,112,,,168,,,,,56,56,200,,,,210,,,,,,,56,,,60,28,,336,,,,56,,100,,56,196,56,,,112,152,35,84,,,,,,28,84,,,50,100,,56,,28,424,,,40,,,,,112,112,,,260,,,100,,,,112,84,,,56,,84,,,224,,100,,,,,,200,,,,56,84,,,,,,,,168,100,56,,,,,,168,72,,112,,,,,,100,,,224,336,100,,56,,,,300,240,,,,,,56,,,,224,100,,,,,224,,,,14,,100,112,,,,100,,,,,100,,,,,,324,,90,,,,,,,,,,,,,,100,56,,,,,,,100,,,,,,84,,,,336,56,,,120,,56,,,112,,,,,,336,,,,,,,,,,200,,,56,,,,,100,336,,56,,,,,,112,448,,,,,56,,,,,84,112,,,,56,28,,100,,,,,56,56,,,,,,400,70,,,,,56,14,56,,84,56,,100,,,1,100,100,60,100,56,200,100,56,28,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,,100,,,,120,,56,312,100,168,28,240,,28,30,100,84,,,186,100,100,112,,,280,224,,,,56,,200,112,,,42,,,,,,,112,,,120,28,,,,,,56,,,,56,140,56,120,,56,152,28,,,,,,,28,84,,,,,,,,28,,,,,,112,,,,112,,,160,,,100,,,,,84,,,56,,168,,,112,,168,,,,,,,,,,56,84,,,,,80,,,,100,56,,200,,100,,,36,,112,28,,100,200,,,,,224,,,,56,,168,,,,,,,28,,,,,,224,,,,,84,224,,,112,,56,,112,,112,168,,,,,,,,,,,,100,,,,,,,,120,,224,100,,,,,,56,,,,,,,,,,,,,105,,,,,,,,60,,,100,,112,,,,,,168,,,,,,,,,,200,,,56,84,,,,,168,,56,,,100,,,,224,,,,,56,,,,,,112,,,,42,,,100,,28,,,,56,,100,,,,100,28,,,100,,56,14,,,,,,100,,100,,,100,60,,,100,,,,,100,28,56,28,18,28,140,1,28,140,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,56,100,100,,,60,,56,,100,,112,,,28,,100,140,,,,340,168,224,,,,224,,,,56,56,200,112,,,210,,100,,,,,112,,,,28,,336,,,,56,,100,,56,140,56,60,,56,152,28,,,,,,,28,168,,,,100,,28,,28,,,,,,,,,,112,,,200,,,100,,,,,84,,,56,,100,,,112,,212,,,,,,200,,,,56,,,,,,40,,,84,,112,,,,100,,168,36,,112,,,,200,100,100,,,224,112,,,56,,168,,400,,100,,,28,,,,,,,,,,,,224,,,,,56,100,112,,,168,,,,100,,100,,,,,,100,,,,,,,,120,224,,,100,,,,,112,,,,,,,100,,,,,,84,,,,336,168,,,60,,56,,,112,,,,,,,,,,,,,,,,200,,,56,,,,,100,,,112,,,100,,,,,,,,,56,,,,,,112,,,,70,,,100,,,,,,56,,,,,,100,14,,,100,,56,,56,,84,,,,,200,,,,60,,56,,,56,28,100,100,,112,,,,,,,,60,28,14,168,100,56,28,100,56,112,100,120,12,84,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,112,200,,,,60,,56,200,,84,28,240,,28,30,100,84,,,186,,268,112,,,,,,,,56,,,,,,42,,,,,,,56,100,,60,28,,,,,,56,,,,56,196,56,60,,,304,35,84,,,,,,28,84,,,,,,56,,28,224,,,,,112,,,,112,,,60,,,,,,,,84,,,56,,100,,,112,,268,,,,,,,,,,,,,,,,40,,,84,100,,,200,,100,,168,36,,,,,100,,,,,,,448,,,56,,,,100,,,,,28,,,,,,,,,,,,,,,112,,56,,,100,,168,100,,,,,100,84,,,,,324,28,,,,,,,,,224,100,,,,,,56,,,,,,,,,,,,,105,,,,,,,,60,,,,,112,,,,,28,,,,,,,,,,,200,,,56,,,,,,168,,56,,,100,,,,252,,,,,56,,,,,,112,,,,84,,,72,,,,,56,56,,,,,,300,,,,,,56,,112,,,,56,100,,200,,,100,60,,56,,,56,28,100,100,,56,,,,,,,,60,,28,,,,,100,,,,344,,84,,168,112,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,100,,,168,60,,,200,100,84,28,240,,28,30,200,84,120,,,100,,112,,,280,,,,,,,,112,,,168,,,,,,,56,,,60,28,,,,,,56,,100,,56,140,56,,,112,152,28,84,,,,,,28,,,,50,100,,28,,112,200,,,,,112,,,,224,,,320,,,100,,,,,84,,,56,,100,,,112,,380,,,,,,,,,,,84,,,,,40,,,168,,,,,,100,,,36,,112,,,,200,,,,,448,,,,56,,168,,400,240,,,,72,,,,,,448,,,336,,,,,,,,,,336,,,,100,,,,,,,,,,,100,100,,,,,,,120,224,,100,,,,,,56,,,,,,,100,,,,,,21,,,,,56,,,,,,,,224,,,,,,336,,,,,,,,,,100,,,,,,,,100,336,,56,,,,,,,476,,,,,56,,,100,,,,,200,,56,,,72,,,,,,56,,,,,,200,,,,,,,,,,56,,,100,,,,,,60,,,,,56,,100,100,,56,,,,,,,,60,,,,,,,100,,112,400,,,84,,85,56,,28,100,100,140,56,100,100,56,56,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,112,200,100,,,60,,,200,100,146,56,240,,28,,100,84,240,,,100,268,112,,,280,224,,,,,,,112,,,84,,100,,,,,56,,,120,56,,672,,,,56,,100,,56,140,56,60,,56,304,35,84,,,,,112,28,,,,50,100,,28,,,224,,,,,,,,,112,,,100,,,100,,,,,168,,,,,100,,,84,,100,,,,,,200,,,,,84,,,,,40,,,84,100,,,200,,100,,168,36,,112,,,,200,,100,,,,224,,,56,,,,,,,,,36,,,,,,364,100,,,,,,,,112,,,,112,100,224,,,,,,,100,,,,,,224,,,,,,,,120,,224,,,,,,30,56,,,,,,,,,,,,,,,,,336,56,,,,,,,,112,,,,,,,,,,,,,,,,200,,,,,,,,128,,,77,,,,,,112,28,,,,,112,,,,,,,,,,70,,,72,,,,,,56,,,,,,,14,,,,,,,,,,,56,200,,200,,,,60,,,,,56,,100,100,,56,,,,,,,,60,,,,,,,,,112,,300,56,84,,84,56,,56,100,,140,56,100,100,,,112,84,112,28,38,56,28,100,90,84,60,3,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,112,100,,,,60,,,,100,84,,,,28,,,84,,,186,480,100,112,,,,112,,,,,,,,,,168,,,,,,,112,,100,,28,,336,,,,56,,140,,112,140,56,120,,,152,28,84,,,,,,,,,,50,,,28,,,,,,,,112,,,,112,,,320,,,100,,,,,84,,,56,,100,,,84,,212,,,,,,,,,,28,84,,,,,28,,,84,100,,,,,100,,,36,,112,56,,,,,,,,,112,,,56,,168,,400,,,,,36,,,,,,364,,,,,,,,,,,28,,112,,112,168,100,,,100,,,84,,,,,,,,,,,,,120,,224,100,,,,,42,56,,,,,,,100,,,,,,,,,,,112,,,120,,,,,,,,,,,336,,,,,,,,,,200,,,,,,,,28,168,,84,,,,,,112,28,,,56,,,,,,,,,,,,70,,,72,,,,,,56,,,,,,400,,,,100,,,,,,,,,100,,200,,,,60,,,,,56,28,100,100,,56,,,,,,,,120,,28,,,,,,,,,,56,84,,84,56,100,28,,200,,,,,,,112,,,56,,,,,,84,60,,112,56,28,56,56,100,100,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,100,100,,112,60,,,200,100,84,56,,,28,,,112,120,,,100,268,,,,280,,,,,,,,112,,,154,,,,,,,,100,,120,28,,,,,,112,,100,,56,140,56,60,,112,304,28,84,,,,,,28,,,,50,100,,,,28,200,,,,,,,,,224,,,160,,,100,,,,,84,,,56,,,,,84,,300,,,,,,,,,,,168,,,,,28,,,84,,,,200,,,,168,36,,,,,,200,,100,,,,112,,,56,,,,100,,100,,,36,,,,,,,,,,,84,,,,112,,,,,100,,,100,,,,,,,,,,,224,28,,,,,200,,,224,,,,,,,56,56,,,,,,,,,,,,,,,,,336,56,,,,,,,,,,,,,,300,,,,,,,,,,200,,,,168,,,,128,168,,84,,,,,,,36,,,56,,,,,,,,,,,,84,,,72,,,,,,56,,,,,,,,,,100,,,,,,,,,200,,,,100,,100,,,,,56,28,100,100,,56,,,,,,,,,100,56,,,,,,,112,,300,56,84,,,56,,50,,100,,56,,100,,,112,,,28,,112,,,,84,,,,56,,,,,,,,100,28,56,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,112,100,,,,120,,,200,100,84,28,,,28,,,84,120,,186,,,224,,,,224,,,,,,,,,,252,,200,,,,,56,,100,60,28,,,,,,56,,100,,56,140,56,,,,,35,,,,,,,84,,,,,,,,100,28,,,,,,112,,,,,,,160,,,200,,,,,84,,,,,156,,,56,,112,,,,,,,,21,,,84,,,,,28,,,84,100,,,200,,100,,,,,112,28,,,200,,,,,,112,,,56,,168,,500,240,,,,36,,,,,,,100,,,,,,,,112,,28,,112,,112,,100,,,,,200,,,,,,224,,,,,,,,180,,224,200,100,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,343,,,,,,300,,,,,60,,,,,200,,,,,,,,128,,,84,,,,,,112,84,,,56,,,,,,,,,,,,56,,,72,,,,,,112,,,,,,200,,,,100,,,,,,,,,,,100,,100,,200,,,,,56,28,100,100,,56,,,,,,,140,,100,,,,,,,,,,,42,112,,168,56,,50,,100,,112,,100,,,112,,168,28,,56,,,,,60,,,,,,,,,,,28,,91,84,30,100,112,100,42,200,28,6,56,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,100,166,,,60,,,200,100,84,,,,28,,300,84,,,,340,268,112,,,,,,,,,,,,,,224,,,,,,,56,,,60,28,,,,,,56,,,,56,140,56,60,,56,152,28,100,,,,,,,,,,,100,,,,28,,,,,,112,,,,224,,,160,,,100,,,,,84,,,56,,156,,,56,,246,,,,,,200,,,,,,,,,,28,,,84,,,,200,,100,,168,36,,112,,,,,,100,,,,,,,112,,,,,,,,,36,,,,,,,,,168,,84,,,,,,,,336,,,168,,,,,,,,,,,,,,150,,,,,,180,,,,100,,,,28,56,,,,,,,,,,,,,,,,,,56,,,60,,,,,105,,,,,,,,,,,180,,,,,200,,400,,,,,,28,336,,,,,,,,,36,,,56,,,,,,,,,,,,84,,,72,,,,,,56,,,,,,200,,,,100,,,,,,,,,,,100,,100,,100,,,,,56,28,100,100,,56,,,,,,,,,,,,,,,,,112,,300,,112,,,56,,50,,100,,56,,,,,112,,168,28,,56,,,,,60,,,56,,,,100,,,,,28,84,84,30,,112,,84,,,,,,56,28,28,112,56,84,100,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
