,F81012,D82064,F81085,L84041,J82076,Y00411,J82040,B86022,N81030,J81038,J82025,P87024,Y02516,L83127,F81001,Y02322,A89026,P92028,F81149,F81013,N82035,P81734,H85028,M84030,B86057,D82036,H81038,J81063,P91025,D82073,P86620,L82045,C84635,B85014,H85693,L82021,E82031,L82056,G81643,P85012,F81100,F84093,Y00915,C88631,L83089,D83081,D82004,E82038,C81001,G82696,F81636,J82035,F86001,G81098,D81011,J81070,B82055,D83079,J81021,H82011,P87003,C83026,D82057,K83039,P92026,C84024,D83030,C83035,P88019,M87638,N81070,P81077,H85101,E87021,N82067,M81058,K81610,D82105,F86644,L81083,B81070,L82009,L82047,H81013,F84122,C83059,D82047,L82018,Y03049,C82082,E82123,B81050,G82203,C84698,H84010,P91604,B83008,C87008,D83046,M84043,P88632,C83023,N81029,F82609,P82002,N82090,E85107,A89036,F84010,D81046,P87659,H84055,J82088,Y00259,H82056,J83002,D82060,F84735,P81066,G85685,F83623,B86032,B83038,E82102,Y02626,Y02933,J82150,E85736,H85030,M81042,F81060,D81061,F81127,G82105,C81096,F81741,B83018,H83016,G82721,M83062,P91633,F81120,G82114,G85681,P86003,B82026,L81600,F81102,Y00033,Y01165,G82064,G84006,B82041,B87029,Y02753,L83082,E85728,B86012,D82048,L84036,B82025,E82025,C84048,P92034,C83063,F84730,B87007,B86004,L83113,P84020,E83035,J82090,A88015,B83624,N82011,J84020,G82046,B83039,D81066,G82691,P81067,B86081,J81034,M81016,M82018,B83033,M86017,E82056,J82094,B83641,F83011,G82067,F81109,G81049,M83052,B81043,N81019,D83037,D82079,P84029,F85027,L84078,F86627,C83048,D81035,G83009,L82016,L82013,H85031,J82216,D81603,H81015,K83023,M87005,L85043,F86038,H85111,J83010,N81064,E81003,F84062,F84111,G82050,E85021,B87015,Y02082,M81057,H82025,H81006,D83043,H81110,F82034,J81090,C85619,E81009,H85018,C84114,F81034,P91035,H83050,B86007,G81013,J82138,P81100,G81104,D82041,L82052,B86013,M81010,L83092,F86658,J82073,B81088,N83009,L84010,G82737,F81061,F81070,G82137,G81041,B81030,M81056,L85024,D81052,L83020,D83006,M85117,D82063,K81633,G82017,E84076,K82068,E82658,D81053,B83014,M81055,E83653,C82040,H81003,H81023,H81064,L85041,L83084,B83021,L82006,F81015,N83635,B86025,G83673,G82011,E85062,Y01922,H82017,L83047,E85118,Y01952,L83045,C83611,J82026,L83021,E82067,F84030,B87018,M88645,J82164,L84065,N81086,C84042,E86024,J81033,G82036,Y02520,C84044,D82054,Y00198,E87002,L82036,D82085,C82079,J82144,A81036,H84623,L83646,D81062,H81020,E82083,B86100,F81007,L84047,C84646,F85663,K81047,C81054,E81010,E82024,L81091,H82014,G85081,F84682,F81114,B82060,F81078,M81025,G82035,F81096,B85006,B82105,P81084,N82014,H85045,G85002,G82097,E85026,P88026,L84011,D82096,F84631,L83024,B82053,L81112,E82133,E82042,F81690,F84047,G82091,C82029,C82078,C83018,B86050,H81078,E82027,G81084,F82006,F81089,L83112,A81608,B83006,K82032,G82205,M82026,C84049,H85100,F82660,L81064,E84057,C85016,B82050,P84055,A82021,F83006,B81021,F81619,H83001,G81024,B82028,D83013,J82074,F82676,C82014,Y01243,E82013,M82056,P82004,G81016,L85003,F86020,B82008,A81067,L83095,L84014,Y00568,L83005,F82011,G85025,J81049,F84017,Y05686,M85041,E83637,N82117,B82067,A81002,L83137,E87037,B82036,F81133,G82071,H83010,J82018,B81118,F86691,M92002,J83632,F81028,C81084,J82197,M91004,H84032,H84020,C83082,E83622,D81049,F81019,G82099,F86083,Y04957,C82064,B86064,L84032,L82057,L81021,L85020,Y02589,J83019,F85002,G82128,E81057,N84005,Y02517,B82101,K82610,G83065,B82034,F84054,L84018,E84032,C84092,F83044,H81113,G82100,H85006,Y05400,F81130,N81048,L85619,A81040,F81011,H84030,D81022,C81003,D81047,F86018,Y01794,H82040,E81633,E83038,P81123,P91603,F81115,G82056,Y06380,H85115,B82049,E82091,M91013,N81020,G85022,A88613,D83029
2015-11-01,,,,,84,224,200,224,300,,112,,,,,,,84,,200,28,336,28,,,60,,,,56,,200,,56,56,42,168,,112,,140,168,,,,,200,60,140,168,,,,336,500,,,21,56,,56,200,100,30,,448,,224,200,,,,168,,,168,112,,,,,84,,168,,28,56,30,,168,,,100,,224,,,,,150,,,168,,56,,168,,56,,,200,,,200,,,56,56,,,336,84,28,,,,112,56,,100,,,,,,700,,56,56,,210,,,,,,112,,,,,,,,,,84,,,360,56,,,400,,112,200,,,,300,,,28,,,100,,,,84,,,,300,,100,,300,56,,,100,,500,,200,100,168,,400,,,200,,200,56,100,100,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,224,200,224,,224,,,360,,100,,,84,,,84,336,56,,,120,,,168,56,,400,112,163,,,,,364,,196,112,,168,,,600,60,280,168,84,,,336,500,,,147,168,,70,200,200,,,448,,224,200,,,,210,,,210,56,,,,,84,,168,,28,56,60,83,84,,,100,,,,,,,150,,,84,448,56,,,336,56,,56,,,,400,,,,112,,60,,84,28,,,,112,56,,,,200,,1000,,700,,56,56,,168,,100,,,,,,,,,,,,,,,,,400,,,,200,,112,200,,,,300,,,28,,,,,,,336,,,,300,,100,,300,112,,84,100,,1000,,400,100,,180,300,336,,200,,100,224,,224,100,100,56,300,168,100,72,604,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,84,,,,,300,,,84,,,,620,56,,,,84,,,56,336,28,,,60,,,,112,,200,,112,,,168,,,,,112,,168,,,200,60,140,168,168,,,336,500,,,84,,,56,,100,,,448,,308,200,,252,,168,168,,126,56,,,,,84,112,168,,28,56,,,84,,,300,,224,,,,,150,,,84,448,,,,,56,,,200,224,,200,,200,100,56,,60,,,28,,,,,56,,100,,,,1000,,,,,56,,168,,100,,,,,,,,,,,,,,,,,400,56,,,200,,112,,,,,,,,28,,,,,,,84,,,,,,100,,300,112,,,100,,600,,,,,168,300,,,200,,,448,,224,,,28,,,,,,,200,60,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,,,,,,,200,224,,,112,,,,,,,84,,200,56,336,28,,,60,100,,,56,,200,112,,,,,,504,,336,112,,,,,200,60,,168,84,,,672,500,,,84,,,49,200,100,,,448,,,200,,252,,168,,,210,112,200,,,,84,56,,,28,56,,,84,,,,,,,,,,150,,,84,,56,,,336,56,,,200,,,200,,,,56,,,,168,56,,,,112,56,,100,,,,,,700,,56,56,,210,,,,,,,,,,,,,,,,,,,400,,,,,,,200,,,,,,,28,,,100,,,,,,,,,,100,,300,,,,,,,,,21,,168,700,,,200,,,168,200,,,100,28,,,100,,,,252,,,,112,112,100,56,100,100,28,300,224,100,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,224,,,420,,100,,,84,,200,56,336,28,,,60,,,,56,,,,112,,,168,,,,280,112,,168,,,,60,280,168,168,,,252,500,,,105,,,70,,100,,,448,,,400,,252,,168,,,168,,200,,,,84,168,336,,28,56,,83,84,,,200,,224,,,,,300,,,84,,56,,,,,,,,224,,200,,,,56,,60,,84,,200,,,,56,,100,,200,,1000,,700,,56,56,,168,,100,,,,112,,,,,,,,,,,,,,56,,,,,112,200,,,,,,,28,,,,,,,336,,,,300,,,,,112,,,,,,,,,,168,400,,,200,,,,,,,,28,200,,,,,,252,28,,,112,,,56,100,100,28,200,312,,364,300,56,84,86,168,56,100,252,112,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,252,,,,,,200,224,,,112,,,28,,,,84,,,56,336,28,,,,,,,56,,100,,56,,,,,,,196,112,,,,,,60,140,168,84,,,,500,,,84,,,56,,100,,,448,,,200,,252,,168,168,,210,112,200,,,,,,168,,28,56,,,84,,,,,,,,,,150,,,84,448,56,,,,56,,,200,,,200,,100,,56,,,,84,28,200,,,,56,,,,200,,1000,30,,,112,56,,210,100,100,,,,,,,,,,,,,,,,,400,,,,,,112,200,,,,,,,28,,,100,,,,336,,,,,,,,300,,,,100,,,,,,,,500,,,,,,168,100,,,100,28,,,100,,,168,252,28,,,,,,,228,100,28,,,,336,,112,84,100,,56,400,252,,,100,42,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,,,,,,,,224,,,,,,28,,,,84,,,112,336,28,,,180,,,,56,,,,56,,,68,,,,140,112,,168,,,,120,140,168,84,,,672,500,,,84,,,56,,100,,,448,,224,200,,252,,,,,168,56,200,,,,,,168,,28,56,,,84,,,200,,,,,,,,,,84,448,27,,,,56,,,200,,,400,,,28,56,,60,,84,28,,,,112,112,,100,,600,,,30,700,,56,56,,168,,100,,,,112,,,,,,,,,,,,,400,56,,,,,112,200,,,,,,,28,,,,,,,,,,,600,,,,,112,,,,,,,,,,,200,,,,,,168,100,,,,28,200,,100,,,,252,,,,,,,56,196,200,28,200,,,336,,,84,,168,168,456,252,280,,100,42,84,224,28,400,200,280,224,392,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,84,,,,,,200,,,224,112,,,28,,,,84,,,56,336,28,,,60,,,,56,,,112,56,,,,,,,196,112,,,,,,60,140,168,84,,,336,400,,,105,,,56,,100,,,448,,112,200,,252,,,,,168,,200,,,,,56,168,,28,56,,83,84,,,200,,,,,,,150,,,84,448,112,,,,112,,,,224,,400,,200,28,56,,,100,,28,200,,,112,56,,100,,,,1000,60,700,,,56,,168,,100,,,,,,,,,,,,,,,,,400,,,,,,224,200,,,,,,,28,,,,,,,,,,,,,,,,112,,,,,,,,63,,,300,,,,,,168,,,,,28,,,,,,84,,28,,,,,,,,200,28,200,,,252,,112,112,,,112,400,252,140,,,84,168,224,168,400,200,,,392,,100,56,100,200,84,15,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,252,200,,,,,,224,252,,,,,56,100,,,84,,200,56,336,28,,,,,,,112,,,,56,,,68,,,,140,112,,168,,,,60,140,168,84,,,336,300,,,63,,,56,,100,,,448,,112,200,,252,,,336,,210,56,200,,,,,56,336,,28,112,,,84,,,,,,,,,,,,,84,,56,,,,,,,200,,,560,,,112,56,,,448,84,28,200,,,,56,,100,,,,,30,,,112,42,,168,,,,,,,,,,,,,,,,,,,400,56,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,300,,,,,,336,,,,,28,,,,,,,,28,,,,,,100,,,28,,,,504,,,112,,168,224,400,252,140,,,224,84,224,,,,,,,,,56,,,,,,112,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,84,200,,,,,200,,84,224,112,,,56,,,,84,,,56,336,28,,,120,,,,,,100,112,56,,,200,,,,140,112,,,,,,60,140,168,,,,588,,,,126,,,56,,100,,,448,,180,200,,252,,,,,168,56,200,,,,,,168,,56,,,,84,,,,,,,,,,300,,,84,448,56,,,,56,,,200,200,,,,,,56,,60,448,84,28,200,,,112,56,,200,,,,1000,30,,,112,112,,210,,,,,,,,,,,,,,,,200,,,400,56,,,,,112,,,,,,,,,,,,,,,,,,,400,,,,,112,,,,,,,,,,168,300,,,,,,,224,,,,28,,,100,,,,252,21,,,,,,,,200,28,,,,336,,112,112,,,112,,252,140,,,,84,448,,,200,,,392,,,56,,,,,,,100,,200,200,448,15,84,100,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,168,,,,,,,224,84,224,112,,,56,,,,,,,,672,28,,,60,,,,112,,,112,112,,,,,,,,112,,168,,,,,140,168,,,,336,1200,,,84,,,56,,84,,,448,,180,200,,252,,,,,210,56,400,,,,,56,168,,28,,,83,84,,,200,,,,,,,300,,,84,,56,,,,,,,,,,672,,200,112,28,,,,,28,,,,,56,,,,,,1000,30,,,56,56,,168,,,,,,,,,,,,,,,,500,,,,,,,,,112,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,168,,,,,28,,,,,,,,14,,,,,,,,200,28,,,,434,,,,,168,112,,252,,,,,84,,112,,,,,,,,,,,,,,,,,600,,224,,,,,,100,100,200,168,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,600,,,,,200,,84,,,,,,79,,,168,,,112,336,28,,,60,,,,56,,,,56,,,168,,,,364,224,,,,,,60,140,336,,,100,336,400,,,70,,,56,,168,,,448,,180,400,,504,,,504,,126,56,200,,,,,112,168,,28,112,,,84,,,,,224,,,,,150,,,168,448,56,,,,56,,,200,200,,336,,100,56,56,,60,448,,56,,,,112,,,200,,,,,30,,,56,56,,168,,,,,,112,,,,,,,,,,300,,,400,168,,,,,112,,,,,,,,,,84,,,,,,,,,400,,,,,110,,,,,,,,,,168,200,,,,,,168,,,,,28,,,,,,,,42,,,,,,,,,28,,,,392,,112,112,,,112,,112,,,,,84,224,,,,,,784,,,56,,,,,,,,200,200,200,200,,,100,,,100,100,200,84,300,30,252,168,84,60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,200,,,,,,,84,,112,,,224,,,,84,,200,56,336,56,,,60,,,,56,,,112,56,,,,,,,,112,,168,,,,60,140,168,,,100,336,400,,,112,,,42,,,,,896,,,,,252,,,,,252,56,200,,,,,56,188,,28,112,,83,84,,,,,,,,,,150,,,84,,56,,,,56,,,,,,336,,100,56,70,,,,,28,200,,,,56,,,,,,,30,,,112,56,,210,,200,,,,,,,,,,,,,,,,,400,,,,,,112,,,,,,,,,,84,,,,,,,,,400,,,,,,,,,,,,,,,,200,,,,,,336,,,,,56,,,,,,,,21,,,,,,,,200,56,,,,490,,112,112,,168,112,,112,,,,,84,224,,,,,,336,,,,,,,,,,100,100,,200,448,,,,,,224,600,,,300,,,,,,168,100,168,112,100,270,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,200,,,,,200,,84,,,,,56,84,,,,,,56,336,28,,,60,,,,56,,100,,,,,168,,,,140,112,,168,,,,60,280,168,,,,420,800,,,70,,,70,,,,,448,,180,200,,252,,,504,,168,56,200,,,,,56,168,,28,,,,84,,,,,,,,,,150,,,84,448,112,,,,112,,,200,,,336,,100,42,14,,,448,,28,200,,,112,56,,100,,,,2000,30,,,,56,,168,,,,,,112,,,,,,,,,,300,,,400,,,,,,,,,,,,,,,,84,,,,,,,,,400,,,,100,110,,,,,,,,,,168,200,,,,,,168,224,,,,,,,,,,,252,,,,,,,,,,28,,,,392,,,112,,100,112,,112,,,,,84,,,,,,,,,,,,,,,,,70,100,,200,200,,,,,,224,,200,,,,,168,84,,336,56,168,112,400,,200,112,28,168,420,100,28,252,224,124,168,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,,200,,,,,136,280,,,,,,,,,,84,,,,672,28,,,60,,,,56,,200,,112,,,168,,,,,112,,,,,,120,140,168,,,100,336,400,,,56,,,56,,,,,448,,,200,,,,,,,168,56,200,,,,,,336,,28,,,,84,,,200,,,,,,,150,,,,448,56,,,,56,,,,,,,,200,112,,,,448,,28,,,,112,112,,100,,,,,,,,60,112,,210,,,,,,112,,,,,,,,,,,,,400,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,400,110,,,,,,,,,,168,,,,,,,,,,,56,28,,,,,,,,28,,,,,,,,400,28,,,,392,,,,,100,112,,168,,,,,84,,112,,,,,,,,,,,,,,,,100,,,,,,,,,224,200,,,,,,,,,,,,112,,,,,112,84,,,,,,,,,,100,100,28,100,84,100,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,200,,,,,,,252,,112,,,,140,,,84,,,,336,28,,,60,,,,56,,,,56,,,,,,,,112,,168,,,200,60,,,,,100,336,,,,70,,,70,,,,,448,,180,200,,252,,,504,,126,112,200,,,,,112,,,28,112,,,84,,,,,,,,,,450,,,84,448,56,,,,,,,200,200,,672,,,56,,,60,,84,28,,,,112,,,100,,200,,1000,30,,,60,56,,126,,100,,156,,,,,,,,,,,,,,,400,112,,,,,112,,,,,,,,,,84,,,,,,,,,400,,,,400,,,,,,,,100,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,28,,,,490,,112,224,,100,,,,,,,,84,360,,,,,,400,,,,,,,,,,,200,,,,,,,,,224,200,,,,,,,,,,56,,112,400,,,,,,,200,,252,168,,,,,,,,100,,100,,224,336,100,112,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,,,,,,,,84,,,,,,56,,,,,200,,336,28,,,60,,,,56,,100,,56,,,168,,,,,112,,168,,,,60,280,168,,,100,252,400,,,56,,,42,,,56,,,,180,200,,252,,,,,252,,200,,,,,56,168,,56,112,,83,84,,,200,,,,,,,150,,,84,,56,,,,,,,,,,336,,100,112,,,,448,,28,200,,,,56,,,,,,,30,,,120,56,,252,,100,,356,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,400,110,,,,,,,100,,,168,,,,,,,,224,,,,,,,,,,,,84,,,,,,,,,28,,,,392,,,,,100,,,168,,,,,84,180,,,,,,400,,,,,,,,,,,,,,,,,,,,448,200,,100,,30,,,,,200,,,,,,,,,,,,,252,112,,,,,,,,200,,100,,224,,,112,,200,60,156,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,,200,,,,,,280,84,,,,,,56,,,84,,200,,336,28,,,60,100,,,56,,100,,56,,,168,,,,,,,,,,200,60,140,668,,,,336,800,,,70,,,70,,,56,,,,180,200,,252,,,,,168,56,200,,,,,56,168,,28,,,,84,,,,,,,,,,150,,,84,,56,,,,,,,200,200,,336,,100,56,,,60,,,28,,,,,56,,100,,,,1000,60,,,60,56,,126,,,,424,,,,,,,,,,,,,,,400,,,,,,112,,,,,,,,,,,,,,,,,,,400,,,,400,110,,,,,,,100,,,168,,,,,,,,,,,56,28,,,,,,,,28,,,,,,,,200,28,,,,392,,112,224,,100,,,168,,,,,84,180,,,,,,400,,,,56,,,,,,,100,,,,,,,,,224,400,,100,,,,,,,,,,,,,,,,,,100,,,112,,,,,,,,400,,100,,,224,,,30,200,,168,,400,100,448,28,200,100,100,252,42,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,200,,,,,,280,184,,112,,,,140,,,,,,,336,28,,,60,100,,,56,,,,56,,,,,,,,,,,,,200,60,140,168,,,,420,400,,,154,,,56,,,112,,,,180,,,252,,,504,,168,56,200,,,,,56,336,,28,112,,,168,,,,,,,,,,150,,,140,448,56,,,,,,,,,,336,,100,42,,,,336,,56,200,,,112,112,,100,,200,,1000,30,,,60,56,,,,100,,312,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,84,,,,,,,,,400,,,,400,,,,,,,,300,,,,,,,,,,,,,,112,28,,,,30,,,,56,,,,,,,,200,28,,,,98,,,112,,,,,168,,,,,84,180,,,,,,,,,,,,,,,,,100,,,,,,,,,224,,,100,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,200,,100,,,,,112,30,,60,130,,,200,224,,100,100,,200,224,112,500,100,200,100,100,168,100,100,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,280,,,,,,,112,,,168,,,56,336,28,,,60,,,,112,,,,56,,,168,,,,,,,,,,200,,140,168,,,100,588,800,,,218,,,70,,,56,,,,180,400,,252,,,,,210,56,200,,,,,56,168,,28,,,83,,,,200,,,,,,,150,,,56,448,,,168,,,,,400,200,,336,,100,70,,,60,336,,,,,,112,,,,,,,,30,,,60,56,,252,,,,312,,,,,,,,,,,,,,,400,112,,,,,112,,,,,,,,,,84,,,,,,,,,,,,,800,100,,,,,,,112,,,168,,,,,,,,,,,,56,,,,,,,,56,,,,,,,,,28,,,,,,112,112,,100,,,168,,,,,168,180,56,,,,,,,,,,,,,,,,100,,,,,,,,,224,200,,100,,,,,,,,,,,,,,,,,,100,,,112,,,,100,,,,200,84,,,,224,,,30,,,224,100,,200,224,,,300,,168,448,112,,,200,200,,168,,,56,336,100,42,112,84,200,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
